"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"SUZLON",310,62.34,54.58,19326.5,16919.8,-2406.7,-12.45,0,""
"TATAMOTORS",82,542.45,661.75,44480.75,54263.5,9782.75,21.99,0,""
"TATAPOWER",100,448.85,351.5,44885,35150,-9735,-21.69,0,""
"TATASTEEL",300,72.78,137.07,21835,41121,19286,88.33,0,""
"TBZ",170,147.56,178.55,25084.36,30353.5,5269.14,21.01,0,""
"TCS",6,3199.23,3631.1,19195.4,21786.6,2591.2,13.5,0,""
"UNIONBANK",1500,57.86,116.29,86795.6,174435,87639.4,100.97,0,""
"WABAG",23,1849,1383.45,42527,31819.35,-10707.65,-25.18,0,""
"WEALTH-BE",12,1615.54,968.3,19386.45,11619.6,-7766.85,-40.06,0,""
"YESBANK",3000,14.78,17.8,44346.47,53400,9053.53,20.42,0,""
"ZENTEC",23,1125,1098.4,25874.9,25263.2,-611.7,-2.36,0,""
"ZOMATO",750,111.47,225.65,83599.75,169237.5,85637.75,102.44,0,""
"ZUARI",190,202.55,191.1,38484.2,36309,-2175.2,-5.65,0,""
